,object_id,is_sectarian_tension,is_environmental_tension,is_geopolitics_tension,is_intercommunity_relations_tension,sectarian_tension_features,environmental_tension_features,geopolitics_tension_features,intercommunity_relations_tension_features,sectarian_tension_direction,environmental_tension_direction,geopolitics_tension_direction,intercommunity_relations_tension_direction,economic_labour_tension_features,political_tension_features,service_related_tension_features,community_insecurity_tension_features,google_translated
33,100044200611186-3c60a2e7183099bb,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"Resident in Jazin and its surroundings, and you are ideas and opinions of Habbb / Yha freely with young men and girls from your generation, but what I know / J How to Wine? What carry / me! # Center for Jaye Distributes for You! We have been on Saturday, July 17, at 12 pm in Al Rayyan, and we participated in the next day. I introduce your opinion on your convenience. The meeting is followed by a teacher and a link to the address: Al Rayyan Resto-Cafe 03983869 https://goo.gl/maps/rdzrrbxnb8lylwfs"
34,100044304410046-0197677c6c90afc8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Ibn Akkar sank in one of the swimming pools. Note: Expressive image
35,100044304410046-0253e128e4704c46,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"What is the health of the father of victims of Saadiyat accident in Corona and transferred infection to dozens? Which lasted days and participated in hundreds, dozens of citizens were hit by virus. Why did the delta enter ""Delta"" to Lebanon, and I was injured Emad Bakurona discovered to protect him and his sons ... but is it true what was traded? From a positive result to negative! The brother of Emad, who spent and her four daughters in the traffic accident, Hassan Qubaisi, denied in contact with the ""day"" of what is being traded, ""he said."" When he arrived (Huweili) to Rafik Hariri airport, he made him a corona check, and took a swab of his nose . Due to the media noise then allowed him to leave immediately after it immediately. The next day, received a call from the airport, during which he was informed. The Corona examined what shows that the result is negative. The image of the lungs confirmed his malaria, now well and well. "" What about the status of Emad psychological? And on his psychological status after the terrible loss. All members of his family lost at once, Qubais answered: ""An unbalanced, live in another world; Be his life. The injured is great, and we have to ask God to inspire us and patience and solace. "" Source: Shenaro Secrets - Nahar"
36,100044304410046-04702ccc09412884,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Find two sisters two are fine.
37,100044304410046-07055325b21141b9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"# Balatja_darcarves. ""Through the Mercedes of the Mercedes of 300 color, and its launch of the Mercedes 300 is white, and started to chase him on the International Atostrad and its threatening to arms weapons from their vehicles without firing. What was the young woman"" To flee them and when the station ""Al Khair, has been controlled by the car and has taken control of electricity and a wall without injuries and then the unknown people have fled their military Mercedes to an unknown destination and the security forces worked to open an investigation to follow all circumstances. Source: The portlight site"
38,100044304410046-0944d7518582be83,0.0,0.0,0.0,0.0,,,,,,,,,,,"بلا دواء, بلا كهرباء, بلا أوكسجين",,Thus Muhammad al-Ras and father of the child Ammar staff members after his hardship from northern Lebanon hospitals over four days .. إب Ibbi arrived in the same as Oxygen to Martyr Rafik Hariri Hospital and suffering was harder !!. 😢💔😢 Lebanon without medication Without electricity without life without life!. #HADI_PRODUCTION
39,100044304410046-0ef7444e463639d8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# Please.
40,100044304410046-0fe6dba68fce9ad8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"The body of a decomposed at the mouth of the Grand Neighborhood in the wide range of fishermen found a fishermen in Akkar in the border district, on the body of a dedicated man in the Lebanese bank for the sea of ​​the sea, they worked to withdraw it to land, They told the security forces, while the petition deployed his investigations in preparation for identifying the body as well. The civil defense elements in the departure station took the body to Dr. Abdullah Al-Rasi Governmental Hospital in Halba, to see it from the forensic doctor to identify death."
41,100044304410046-1255226482616bab,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The death of an assistant in the internal security forces Khalid Ghandour after suffering a traffic accident on the road of Costa Brava in Beirut ...
42,100044304410046-132ab3c0b44ac0bf,0.0,0.0,0.0,0.0,,,,,,,,,,,,"اشكال فردي, طلق نار عن طريق الخطأ","The death of a young man after a few days of gunshots died. For fuel "".."
43,100044304410046-1902af6326a93580,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# The thief of the skin stole the joy of the child. - Monitor the thief location and appoint opportunities before submitting the phone from the hand of the child provided to an unknown destination. Please contact us at 76574438 Source: Andy State
44,100044304410046-1b64ee6325b0ca11,0.0,0.0,0.0,0.0,,,,,,,,,,,,رصاصة غدر,"# In the memory_name_Addah ""Fatti Ali"" who spent orphaned by the treachery: Ali. In 2004, he will meet a small Bold 9 years old I asked him for his name. When I'd like to claim that my Lord gives me Bold for my name. When we went to the doctor and we knew that she had a holder of Bold laughed with a speech. Praise be to God, who I knew. . When Dr. I told her Tmenini Shaw became. I became laugh and say what God wills a long and sweet boy .. laughed and I said. . The most beautiful, and I do not have a misfortune, and I do not know. He became a boy on me with every month to be a story and stories of what we never finish .. I had to be Win what I am there. To limit the head of walking Waiting and waiting for his arrival every day Heck for the last day of the school .. The summer time we were welcomed by a fishing. And Futbul laughed so much was looking for me and laughs like a uncle tells me Haida's last journey to us. And the night and the night of the house of Ahli was the last journey of my boy on his grandfather. She arrived and Plach Success in the whole car but a treacherous sample penetrated his back on his heart and stabilized inside. Here was the night of tragedy for a night that never insulted the night I wish to be the bullet, I grew my heart and his heart .. But the wisdom of our Lord is stronger and know. And from her time black and narrowed and no longer anything beautiful in life .. and be confident of my Lord that he will take the right blood on me. Hidye story with great shortening because if I want to tell my story I and my boy Ali al-Badl nights of the archer and sincerely and the writers forgive me if the story is long boy on I miss you"
45,100044304410046-237dfd790536dbc8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# We congratulate you
46,100044304410046-255ffdbdee763cb8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# According
47,100044304410046-2eee5014e389ca59,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"An element of the Lebanese army crying during the father of a father of one of the victims of the harbor explosion in front of the palace of Ain al-Tina. """
48,100044304410046-3983f7c9147261bf,0.0,0.0,0.0,0.0,,,,,,,,,,,ارتفع سعر صفيحة البنزين,,"⛽ The price of fuel rises Tuesday morning, the price of gasoline plate 95 octane 15900 lira and 98 octane 16,300 pounds and 12800 lira, gas flask 9200 lira. To become the following shape: ⛽zine 95 octane: 61100 pounds. ⛽ Benzine 98 Octane: 62,900 lira. ⛽zot: 46100 lira. ⚱️ Gas: 37600 lira"
49,100044304410046-3edcf37527340e51,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"# Circularization and Help: Two girls Susan and dreams left their home and did not return to the General Directorate of the General Directorate of Internal Security Division Public Relations Division. 2007, Lebanese - Ahlam Ahmad Osman (born in 2009, Lebanese), which left 5-7-2021, and their parents' house in the town of Baha'un / Dnaya to an unknown destination, and did not come back. Therefore, respect for those who have seen them or have any information about them or where they are, contact the dementia in the regional gendarmerie on ID: 490673-06, to make their own information"
50,100044304410046-43fa7fea192cbd8f,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"The people are stealing the citizens in front of one of the gas stations. : One of the citizens left his vehicle in a gasoline queues in front of a station in the area of ​​Abu al-Aswat since night and finds that its tires were stolen. We wish everyone would not put in mind the word that poverty is poverty for theft, no and no one Because poverty is all our homes, and our thoughts, and our thoughts, and our thoughts, and that Lebanon is still (Switzerland East). The imam said: ""If the poverty is a man to kill him .."
51,100044304410046-4c4fabf2868a0a1d,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"The General Directorate of Civil Defense The Employee Ziad Abdel Hamid Bergawi from many of the center of the organic Pashoura - Beirut regional, which moved to His mercy on 08-07-2021 after a heart attack. Born 03/03/1965 Ghabri. - Its work is managed by the first time as of 12/02/1986. It was appointed in permanent angel as a civil defense component on 18/10/2016 - awards on several tendencies of the Director General of the Civil Defense - Many training courses are held at home. - At the written congratulations from the Minister of Interior and Municipalities - participated in many tasks. - Participated in search and rescue operations at the Beirut port. - Awards on several training certificates. - An example of the brave employee in the service of the homeland and the citizen. Family situation: single. He will pray on his pure body at 08-07-2021 at Al Khashaghji Mosque and Yuri in the cemetery of martyrs."
52,100044304410046-4d0374186736b5d5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"I'm conquering the circumstances, I do not forget me!. # #HADI_PRODUCTION"
53,100044304410046-4f376e9a5c2e904f,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The name of the city of Tayeb Tayeb Qassem Hassan needs your prayers after being subjected to a traffic accident and underwent accurate surgery in the head ..
54,100044304410046-579dfb203888fc75,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Despite his weakness
55,100044304410046-59ce3ab52b130dd9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,.
56,100044304410046-5d82a14244269cee,0.0,0.0,0.0,0.0,,,,,,,,,,,انقطاع الادوية,,"# Promised: Unless you do the state and the Ministry of Health, I did the media # and the media # Medal. I will insure the medicine for the girl. . - - The girl is still in Shifa Hospital - Abi Brunette in Tripoli follows its treatment after its health deteriorated (fell 3 kilos and text, and in the body), because of non-insurance in Tripoli and Lebanon even for six days. Healthy .... - The media also had been announced in the first moment he had announced his assistance to the girl asked a way to communicate with the parent, which was already following with the child's brother, and in full coordination between him and one of the Lebanese army elements (from Tripoli) Served in the pictures area, where he gave him a tablet for his delivery to the girl to start to take it ... Special thanks to the unknown element in the Lebanese army (p) who brought the medicine for the family this afternoon Wednesday 7 - 7 - 2021 - As announced That medication had been cut off 90% of Lebanon and South Pharmacies, especially after an effort was found E ..... with our wishes for you speedy recovery ... 🙏🙏🙏 # Salama_kbk_ia_g"
57,100044304410046-65670c2036291ef4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,I came out and no longer .. I saw her?
58,100044304410046-6d0e5213908bc2ae,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Mubarak for all our dear students cancel the middle certificate (Al-Barifih) .... Praise be to Allaah. Praise be to God.
59,100044304410046-6e4378a5c829cc8f,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"Provide an electric generator for the operation of the oxygen machine for the patient path of the media and Sam Nabhan as a ongoing charity about his children, and this is what he wrote: # Salama_kbk_ia_glbbi .. gives you wellness ,, regarding the patient girl, , As an ongoing writer and for my children. With a 10-liter gasoline of my personal account (pull it out of my car because of the lack of such article at our southern stations, and stays less than another tribe), hoping to solve a sustainable problem until her healing ..... and I pray for her father personally if Called the need, but I lacked me to fill my car tank in the benzene to the origin of the city of Tripoli ....... # Salama_kbk_ia_glbbi, and what a sense of slaughter only follows when children ..... - Please communicate with me on ID: 70064854 Note: The generator is similar to the image is .."
60,100044304410046-6e798eeb5c84b747,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"The heart of the mother, a pillow, the chef Hassan about his mother's house to a restaurant .. From the kitchen to the tardor passed by Kredor and assumed to the salon. To encourage the chef Hassan with his project and request"
61,100044304410046-6f0dad942e597f62,0.0,0.0,0.0,0.0,,,,,,,,,,,عدم توافر المازوت,,"After the Lebanese army made a part of the diesel stock he had for ovens, the crisis of bread is coming on Monday. Bread, after the Lebanese army made a part of the mortgage with ovens, while other furnaces had to buy diesel from the black market so as not to stop working. Monday, the furnaces will be in front of a big problem and will open from the diesel, while the biggest number will be closed as fuel stations "".."
62,100044304410046-70e5513c3f9d7c69,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# For the first time. 🌹🇱🇧⚔🇱🇧🌹🌹🇱🇧⚔🇱🇧🌹 - - President of the northern Tower Municipality of Haj Ali Deeb puts the Seventy Station in the Lebanese army to manage after telephores and inventions. And men show the time of crises - Thank you from the heart to my family and his beloved sons of my beloved town of the northern tower ♥ ️ ♥ ️ ♥ ♥ ️ ♥ ️ - and greeting for the Lebanese army ♥ ️ ♥ ♥ ♥
63,100044304410046-725700d2f7d7a22b,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# Fantastic: Why are you aware of the human test you get a certificate of man .🌹🌹 Multiple Creatures and Spirit Single service at the Civil Defense Operations Center within the Beirut Harbor we heard in the water to show us that a bird Yamam had fallen into the sea. What was the volunteer Khaled Burhan But quickly enter even without removing his clothes and raising the bird from water Note Operations Center has since the explosion disaster with the Lebanese army and the security services within the public safety and the guidance of HE Director General Raymond Dean and Outside of the Beirut Regional Center Professor Walid Al-Hashash # Source: Volunteering in Defense Civil Youssef Companion Mallah #
64,100044304410046-7257fcec2656dbd6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"# Wonderful: God's mercy is the mother. Children and disability ,,, sincere and idiot. Did the help of the helper who do not have money to move them to the hospital in difficult time ..... Note: This service is currently available within the areas of Jbeil Jubaila on Thursday and Friday and the rest of the week within Beirut and its suburbs ,,, and to communicate with him on ID: 76721766"
65,100044304410046-72e0e5e7cc4b5ca6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"# Army: Arrest of people and adjusting a large amount of fuel (33000 liters) .. ⛽ Released from the army leadership directorate of guidance: on 29/6/2021, a force of the army has incorporated a periodic supply of the Directorate of Intelligence. I) in the area of ​​Al-Marija, the district of ABDA, and the Citizen and the Syrian (F.), for their fuel storage and the seizure of about 33,000 liters of diesel is hidden within two tanks and an underground tank, as well as a war weapon Financial amounts. The seizures and the interests of the investigation were handed over to the detainees under the supervision of the competent judiciary."
66,100044304410046-74633680ebc65758,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"""Nour Khaton"" extended to the palm of the brothers from her sister Mona .. And he expressed about life ..🌹🌹 Noor you all love!"
67,100044304410046-760829b1454e78a0,0.0,0.0,0.0,0.0,,,,,,,,,,,عدم توفر عناية فائقة,,. I moved to her Lord between the arms of her parents.
68,100044304410046-787569e27a172f50,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The death of Fatah al-Saba Batoul Hassan al-Husseini or Hadi (25 years old) from the southern town of Arazon after being shocked by a speeding car on a year of DuDgia - Photos .. Fatihah for her spirit
69,100044304410046-7b73615bf74614c6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"""The Lord of the brother did not give birth to His mother"": a southern young man donates to his friend to save his life after his disease ... Suggested to be successful in the Commission of Takaful in Al-Shuqaf) successfully."
70,100044304410046-84fe2644e3d91983,0.0,0.0,0.0,0.0,,,,,,,,,,,"زحمة سير خانقة, طوابير الذلّ",,"No day fuel stations, shocking details revealed as if they were not enough for the calamity at the fuel stations in various Lebanese regions, to be added to the traffic congestion caused by these queues on the roads. The cash from wants to mobilize gasoline with who does not want .. and to alleviate the crisis on the Lebanese, a member of the George Prix fuel stations trade union said in an interview with the MTV site, ""We will study the possibility of closing gasoline terminals and opening at night to avoid the traffic jam on the roads and this decision Made by the Ministry of Economy and the Ministry of Interior "".. MTV"
71,100044304410046-887368c94618dd88,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"I went to buy nutrition from one of the # supermarket, for later surprised by Stand there is a milk #aptamil and at a backed price .. Watch the video What happened with him .. Source: North Sites"
72,100044304410046-8942510639ffd5e5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The time of Chouf Lebanon has become from above # army _ Lebanese 🌹🇱🇧⚔🇱🇧🌹
73,100044304410046-8e9e2eff9bb6aa74,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"The first assistant in the Lebanese army ""Abu Jad"" .. He who protects us and put his blood on his heart, his right to save him. The Lebanese ""Abu Gad"" (B - Shamanani), which is sacrificed by all its people and puts his spirit, and it helps him to steal anything to the culprit and the perpetrators to bring them to justice. , And we have to respond to him even if a simple part of his sacrifices. Thief is something or to provide any information that keeps the credit collection on the identity of the caller contact: 76334088 # Please _ _ _ _ _"
74,100044304410046-90192bea86f2ff53,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"After I survived the explosion of Beirut Harbor, Young Joel Mousa died of the aircraft incident in Gawdawa, """" ""The words and dynamism"" were surprised by these words. Has survived the explosion of Beirut Harbor, and they always spoke about skipping them to shock the explosion."
75,100044304410046-9226f498b6de74f3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,We congratulate state security in the pictures and son of the northern tower town of Captain Abbas Abbas promoted his pioneering rank and wish him the time of progress and shine
76,100044304410046-96ae5e083e45efa9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"""Batool"" died after being shocked in a car in the area of ​​Photos .. The death of the Husseini after being hit by an accident in the southern town of Duergia. Expressive ....."
77,100044304410046-9794cf1e27054ff4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# URGENT: A young man at Abu Al-Aswad beach - Khoraib south of Lebanon (Jawad M. A - Lebanese). : Wissam Nabhan
78,100044304410046-9b9bb006a053acee,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"# News of the public locks in Lebanon. However, this statement was ""noted by the Minister Hassan"", confirming from the Media Office of the Minister of Health of the ""day"", saying that ""this speech to Dr. Hassan fee and its basis"" .."
79,100044304410046-a30ced84527706e9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The army commander Joseph Aoun loses military units deployed in the city of Tripoli and its surroundings to see the field security situation after the events in the city recently.
80,100044304410046-a3e3b24e1e3827a2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"The girl ""Ahmad Ibrahim"" came out of the town of Kawtatriya sovereignty from its house since approximately two days and no longer until the time and the news of the disappearance of being shocked is not suffering from any diseases or problems. For those who recognize them please communicate directly on ID: 03699620"
81,100044304410046-a53f5f4834ecd235,0.0,0.0,0.0,0.0,,,,,,,,,,,"أزمة انقطاع الكهرباء في لبنان, تقنين على المولدات",,"# Maasat_lbananiyah: Hadi Hadba lost his father and his head because of the ""leaders and heads of Lebanon Al-Zawan"" for their hospitality of electricity on oxygen patients. Continuing power cuts .. The young man Hadi Hadi Hadba on his page on ""Facebook"" where he wrote: ""Go to the mercy of God and my father and the crown of my head, as a result of the continued interruption of electricity and father, may God have mercy on it. Zuman "".."
82,100044304410046-a62614fe5a5b1aa2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"That is why the army elements tried to enter Tripoli. The security situation in Tripoli on Tuesday tried dramas in a dramatically following the launch of a ban on his father's presence because of his health daughter because of the power outage and therefore the oxygen machine, and is suffering from a shortage of oxygen Evolution of the situation, after the army came to adjust the situation, as one of the people of the region was only solidarity with the parent and prevented the army from entering, bullets were increased and chaos was killed. Ya_rb_Service_Lafal_Out_wave_الإحتقان_الداخلي # وإرحم_الشعب_وححمي_العشكر .. وتحول الوسلة towards corrupt .."
83,100044304410046-a6f9c1bb0332c13f,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"# Urgent: Lebanese disaster in the hills of the gulf, the death of 3 people in the fall of a plane. ."
84,100044304410046-a8aafc1c839c8683,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# Goodbye_gori_mzn_al
85,100044304410046-ac41c91f1445e0cf,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# Urgent: Minister of Education decided to cancel the examinations. . Source: New Channel
86,100044304410046-b0a17bc931bd5bd3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,💔😢😢😢💔 actually worse days
87,100044304410046-b42a72723cc7d188,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# A copy of the sites and platforms spread to the sites and platforms of the social networking of the Earth and Ghafi.
88,100044304410046-b5b378d2d4085d03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,The most powerful auction at Lebanon
89,100044304410046-b6a5d389615d3521,0.0,0.0,0.0,0.0,,,,,,,,,,,,,# يا_حامي_الحمى 🇱🇧⚔🇱🇧 # The army_men_Health_ and
