,object_id,object_type,text,is_economic_labour_tension,economic_labour_tension_direction,is_political_tension,political_tension_direction,is_service_related_tension,service_related_tension_direction,is_community_insecurity_tension,community_insecurity_tension_direction,topics,matched_features,date,clean_text
1201,100053742612367-d1b5ccde0733ddde,facebook_post,كيف توزعت اصابات كورونا المستجدة في قضاء صور ؟,0.0,,0.0,,0.0,,0.0,,['covid / vaccination'],[['كورونا']],2021-07-02 18:17:57,كيف توزعت اصابات كورونا المستجدة في قضاء صور ؟
1584,100101538090752-bdee4fe50225a0f1,facebook_post,"دار الفتوى: الثلثاء 20 تموز عيد الأضحى أعلنت دار الفتوى في بيان اليوم أن ""يوم عرفة التاسع من شهر ذي الحجة 1442هـ يوافق يوم الاثنين التاسع عشر من شهر تموز الجاري 2021م، ويكون يوم عيد الأضحى المبارك الثلثاء العاشر من شهر ذي الحجة لعام 1442هـ الموافق للعشرين من شهر تموز الجاري 2021"". ولفتت إلى أن ""دار الفتوى تهنىء حجاج بيت الله الحرام، وتتمنى لهم حجا مبرورا وسعيا مشكورا وذنبا مغفورا، وتهنىء المسلمين عامة بهذا العيد المبارك، وتسأل الله تعالى أن يعيده عليهم وعلى اللبنانيين جميعا بكل خير وأمن وسلام واستقرار"".",0.0,,0.0,,0.0,,0.0,,['ceremonial'],[['عيد الاضحى المبارك']],2021-07-10 08:49:50,"دار الفتوى: الثلثاء 20 تموز عيد الاضحى اعلنت دار الفتوى في بيان اليوم ان ""يوم عرفة التاسع من شهر ذي الحجة 1442هـ يوافق يوم الاثنين التاسع عشر من شهر تموز الجاري 2021م، ويكون يوم عيد الاضحى المبارك الثلثاء العاشر من شهر ذي الحجة لعام 1442هـ الموافق للعشرين من شهر تموز الجاري 2021"". ولفتت الى ان ""دار الفتوى تهنىء حجاج بيت الله الحرام، وتتمنى لهم حجا مبرورا وسعيا مشكورا وذنبا مغفورا، وتهنىء المسلمين عامة بهذا العيد المبارك، وتسال الله تعالى ان يعيده عليهم وعلى اللبنانيين جميعا بكل خير وامن وسلام واستقرار""."
45,100044304410046-04702ccc09412884,facebook_post,العثور على الطفلتين الشقيقتين وهما بخير❤,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-06 08:40:54,العثور على الطفلتين الشقيقتين وهما بخير❤
1771,101907331306702-49118763e2917d18,facebook_post,فلتسقط الحصانات عند دمتء الأبرياء الاثنين ٥ تموز الساعة ١١ صباحا امام قصر العدل,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-04 10:29:42,فلتسقط الحصانات عند دمتء الابرياء الاثنين ٥ تموز الساعة ١١ صباحا امام قصر العدل
2161,638194369531021-97927990a7673e9c,facebook_post,دعوة لفتح محطات الوقود ليلا وإقفالها نهارا #mtvlebnonnews,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-08 10:12:58,دعوة لفتح محطات الوقود ليلا واقفالها نهارا #mtvlebnonnews
1735,100700957973129-7112111890af21b9,facebook_post,#نفاق_القوات,0.0,,1.0,Increase,0.0,,0.0,,['other'],[None],2021-07-05 19:33:41,#نفاق_القوات
640,100053742612367-34cef3df43265c72,facebook_post,مؤسسة مياه لبنان الجنوبي: تقنين في توزيع المياه بسبب الكهرباء.. وتحذير من إنقطاعها كلياً!,0.0,,0.0,,1.0,Increase,0.0,,['other'],[None],2021-07-09 09:38:52,موسسة مياه لبنان الجنوبي: تقنين في توزيع المياه بسبب الكهرباء.. وتحذير من انقطاعها كليا!
479,100053742612367-070dd232215f3706,facebook_post,جريح بطلق ناري على إحدى محطات المحروقات..,0.0,,0.0,,1.0,Neutral,1.0,Neutral,['other'],[None],2021-07-08 08:05:39,جريح بطلق ناري على احدى محطات المحروقات..
707,100053742612367-480de69e6b084631,facebook_post,قطع الطريق امام شركة الكهرباء في صيدا احتجاجا على الانقطاع التام للتيار,0.0,,0.0,,1.0,Increase,0.0,,['other'],[None],2021-07-10 11:59:43,قطع الطريق امام شركة الكهرباء في صيدا احتجاجا على الانقطاع التام للتيار
40,100044168752633-db12457eb4db1503,facebook_post,الأن من امام مجلس النواب: #فلتسقط_كل_الحصانات,0.0,,0.0,,0.0,,0.0,,['beirut port explosion'],[['#فلتسقط_كل_الحصانات']],2021-07-10 14:41:24,الان من امام مجلس النواب: #فلتسقط_كل_الحصانات
1294,100053742612367-ef5499d115471aae,facebook_post,أزمات البلد تتسابق... بعد الكهرباء والمولدات والمياه والسحوبات: تقنين الانترنت اقترب؟!,1.0,Increase,0.0,,0.0,,0.0,,['other'],[None],2021-07-02 18:46:10,ازمات البلد تتسابق... بعد الكهرباء والمولدات والمياه والسحوبات: تقنين الانترنت اقترب؟!
1185,100053742612367-cdc79e6a67083440,facebook_post,نال خبير مواقع التواصل الاجتماعي ابراهيم يونس شارة التوثيق الرسمي لحسابه على الانستغرام والفيسبوك و TikTok بالعلامة الزرقاء. ويعتبر توثيق الحساب خطوة هامة في المسيرة المهنية للخبير يونس وتضيف لعمله مزيدا من المصداقية والاحترافية. يذكر ان ابراهيم يونس استرد عشرات الحسابات المقرصنة لمشاهير لجأوا اليه وساعدهم في ادارة صفحاتهم وهو يقدم النصائح في كيفية تفعيل الصفحات او تشغيلها تجارياً وتسويق المنتجات. لمتابعة صفحتنا على انستغرام: https://bit.ly/3k4N4ty,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-10 17:15:52,نال خبير مواقع التواصل الاجتماعي ابراهيم يونس شارة التوثيق الرسمي لحسابه على الانستغرام والفيسبوك و TikTok بالعلامة الزرقاء. ويعتبر توثيق الحساب خطوة هامة في المسيرة المهنية للخبير يونس وتضيف لعمله مزيدا من المصداقية والاحترافية. يذكر ان ابراهيم يونس استرد عشرات الحسابات المقرصنة لمشاهير لجاوا اليه وساعدهم في ادارة صفحاتهم وهو يقدم النصايح في كيفية تفعيل الصفحات او تشغيلها تجاريا وتسويق المنتجات. لمتابعة صفحتنا على انستغرام: https://bit.ly/3k4N4ty
831,100053742612367-6852f8d7032d6dc0,facebook_post,غدره الخبيث باكراً.... الشاب الجنوبي 'محمد' يسلم الروح ويلتحق بأخويه https://yasour.org/2018/ar/news/html/news-76026,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-02 13:30:07,غدره الخبيث باكرا.... الشاب الجنوبي 'محمد' يسلم الروح ويلتحق باخويه https://yasour.org/2018/ar/news/html/news-76026
1123,100053742612367-bcd8f50944bf5f11,facebook_post,وزير الصناعة: لمنع تهريب المخدرات في المنتجات الصناعية,0.0,,0.0,,0.0,,0.0,,['smuggling'],[['تهريب']],2021-07-06 13:00:56,وزير الصناعة: لمنع تهريب المخدرات في المنتجات الصناعية
1323,100053742612367-f5e967bb9e4d4f81,facebook_post,حادث صدم مروع يودي بحياة الشابة 'بتول' (25 سنة) ويحرم طفليها الصغيرين من أمهما على عجل,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-06-29 17:36:02,حادث صدم مروع يودي بحياة الشابة 'بتول' (25 سنة) ويحرم طفليها الصغيرين من امهما على عجل
597,100053742612367-29fec9641a5985b1,facebook_post,وزير دفاع العدو يتحدث عن لبنان: مستعدون لمساعدته للخروج من ازمته الاقتصادية !!!,0.0,,0.0,,0.0,,0.0,,"['economic collapse', 'zionists / israeli government']","[['الاقتصادية'], ['وزير دفاع العدو']]",2021-07-05 04:00:18,وزير دفاع العدو يتحدث عن لبنان: مستعدون لمساعدته للخروج من ازمته الاقتصادية !!!
1235,100053742612367-dd16d426b458ec6c,facebook_post,تحضّروا لارتفاع جديد بدرجات الحرارة ونسبة الرطوبة..,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-11 10:26:44,تحضروا لارتفاع جديد بدرجات الحرارة ونسبة الرطوبة..
1967,106447832755806-2370ac8366137ba6,facebook_post,بالفيديو/ عنصر في قوى الأمن الداخلي يروي كيف أنقذ عائلة من الغرق!,0.0,,0.0,,0.0,,0.0,,['lebanese army/security forces'],[['الامن الداخلي']],2021-07-11 09:54:08,بالفيديو/ عنصر في قوى الامن الداخلي يروي كيف انقذ عايلة من الغرق!
898,100053742612367-8036716c86937d0a,facebook_post,جنوباً: تدخل لفض الاشكال فاصيب بطعنة سكين.... شخص لم يستطع الوصول الى منزله بسبب طوابير الذل امام المحطات فأطلق النار وبدأ الاشتباك الثاني !! (صورة داخل الخبر),0.0,,0.0,,1.0,Neutral,1.0,Neutral,['lebanese fuel crisis'],[['طوابير الذل']],2021-07-02 14:47:31,جنوبا: تدخل لفض الاشكال فاصيب بطعنة سكين.... شخص لم يستطع الوصول الى منزله بسبب طوابير الذل امام المحطات فاطلق النار وبدا الاشتباك الثاني !! (صورة داخل الخبر)
6,100044142351096-c9a7c1a195ccae2a,facebook_post,لقاء مع السفيرين المصري والتركي https://kataeb.org/sl/AR/329477,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-06-30 09:14:42,لقاء مع السفيرين المصري والتركي https://kataeb.org/sl/AR/329477
1609,100101538090752-cf40f53ed936aec9,facebook_post,قطع السير على الطريق البحري في #الصرفند,0.0,,0.0,,1.0,Neutral,0.0,,['other'],[None],2021-07-04 16:29:34,قطع السير على الطريق البحري في #الصرفند
1391,100101538090752-23df1c4057dcf006,facebook_post,"اللواء ابراهيم: سأمثل أمام القضاء عندما تكون الامور سالكة وفقاً للأطر الإدارية.. وحول الحملة الإعلانية: أشكر محبة الناس والحملة انطلقت أثناء وجودي خارج لبنان استقبل المدير العام للامن العام اللواء عباس ابراهيم الخلية القانونية التي تشكلت لمتابعة التحقيقات في قضية تفجير المرفأ. ووزع المحامون وسام محمد المذبوح ،احمد المستراح وباسل عباس، بيانا باسم الخلية ونيابة عن اعضائها، بعد اللقاء، قالوا فيه: ""ارادوها شركا للايقاع بصاحب المسيرة المشرفة الواضحة، الذي نذر نفسه رسول خلاص وسلام ومحبة، من اعزاز الى راهبات دير معلولا وصولا الى كل قضية انسانية من شأنها ان تزيل ظلما او تبعد فتنة، وقبلهم الكثير من السعي الصامت كصدقة السر وعدهم الكثير الذي ربما يكشف مع الايام وربما لا يكشف، الا انه حولها الى فرصة لكشف الحقيقة الساطعة كما يجب ان تكون في جريمة تفجير مرفأ بيروت التي كان يراد منها ان تشكل الزلزال الثاني بعد زلزال اغتيال الرئيس الشهيد رفيق الحريري"". اضاف البيان: ""ليس صدفة ان تتقاطع الحملات المنظمة على شخص المدير العام للامن العام اللواء عباس ابراهيم مع ""التسريبة"" القضائية المتضمنة ملاحقة بصفة الادعاء بما يتناقض مع ابسط القواعد والاعراف في العمل القضائي، خصوصا في قضية محالة على المجلس العدلي، وهذا ""الادعاء التسريبة"" كان التمهيد له عن قصد او بالمصادفة من خلال بث شائعات تريد توتير الجو الجنوبي ربطا بالاستحقاق النيابي، ولان الجنوب يختصر كل جهات الوطن، فالهدف هو توتير الجو الوطني تحضيرا لسيناريوهات خطيرة منبعها احقاد شخصية واحلام من سراب، الا ان المعنيين الذين صهرتهم التجارب وأدوها في مهدها وجعلوا من نارها بردا وسلاما على لبنان الذي يحتاج الى كل بقعة ضوء وجمع الارادات الصادقة لاستنقاذه من قعر لا يشبهه ولا يليق به"". وتابع: ""فبعد طلب المحقق العدلي في قضية انفجار مرفأ بيروت القاضي طارق بيطار استجواب شخصيات سياسية وعسكرية وامنية كمدعى عليهم في هذه القضية، ومن بينهم المدير اللواء ابراهيم، تداعى عدد من كبار المحامين الى تشكيل خلية قانونية زارته في مكتبه في جلسة مناقشة للتطورات الاخيرة المتعلقة في قضية مرفأ بيروت، ونقل الزوار عنه تأكيده انه ""من الحريصين على حقوق اهالي الشهداء بكشف الحقيقة ومعاقبة كل متورط"". اما اعضاء الخلية فقد اكدوا ان ""اكبر جريمة بحق الشهداء وعوائلهم هي رمي الاتهامات جزافا، تنفيذا لمآرب سياسية واقصاء لرجال مؤسسات، وحدهم القادرين على القيام بالدولة من الرماد، ونحن بصدد تشكيل خلية قانونية لمراقبة التحقيقات حرصا على حقوق اهالي الشهداء ومنعا لجعل ملف التحقيق شماعة سياسية تستعمل للنيل من رجل دولة ومؤسسات خرج من زواريب الطوائف والمذاهب والمحسوبيات عابرا بمؤسسة الامن العام ولبنان من الوطن الى كل العالم، مستحقا بجدارة توصيف ""رجل الامن الانساني""، ولم يتصرف يوما الا وفقا للاطر الادارية والقانونية"". واشار البيان الى ان ""السؤال الذي يطرح، لا بل وطرح مباشرة على المدير العام للامن العام ، هل اللواء ابراهيم فوق القانون؟ والجواب الذي سمعه اعضاء الخلية حاسم وواضح لا يحتمل التفسير او التأويل الا وهو ""ان مسيرتي الشخصية وانا ابن المؤسسة العسكرية دائما وابدا احترم السلطة القضائية وانا لست فوق القانون، وسأمثل امام القضاء عندما تكون الامور سالكة وفقا للاطر الادارية والقانونية"". والسؤال الاخر الذي طرح ايضا، لماذا الان تشويه صورة اللواء ابراهيم من خلال ادراج اسمه في ملف تفجير المرفأ وتحويل الاموال الى الامارات وبيانات من بعض النواب ومحاولة افشال زيارة واشطن وغيرهم الكثير؟، لا يتردد باسماع اعضاء الخلية موقفه المباشر القائل ""ربما لا يريد البعض ابقاء روح العمل والامل لدى اللبنانيين، وهناك انزعاج من الدور الوطني العابر للطوائف والمذاهب والقوى السياسية على اختلافها، لا سيما اعادة المفقودين والموقوفين والمحتجزين، وصولا الى الخوف الذي يلامس حالة الذعر من اي دور سياسي وطني. وتنفتح الاسئلة المباشرة من قبل اعضاء الخلية اكثر في السؤال المحدد عما اذا كان هناك طموح سياسي للواء ابراهيم؟ ليأتي الجواب الذي لا شبهة فيه بتأكيده ""لقد قلتها اكثر من مرة واكررها امامكم، انني افضل العمل في المستوى التنفيذي الحكومي اي اجرائيا، وليس في الهيئة التشريعية"". وعن كيفية مقاربته لانفجار مرفأ بيروت؟، يعتبر اللواء ابراهيم ""انها كارثة وطنية وانسانية ويجب ان يقدم القضاء تقريره للرأي العام حول تحديد اسباب الانفجار، وأحيي ارواح الشهداء الذين ارتقوا واشد على ايدي اهاليهم، ومن البديهي رسم علامات استفهام كبرى حول لماذا لم يُسأل عن اصحاب الباخرة التي اتت بنيترات الامونيوم؟، فالفرضيات ما زالت كثيرة والسبب ان هذه المادة لا تنفجر الا اذا احتكت بمواد متفجرة"". ولدى سؤال اعضاء الخلية عن اسباب الحملة على شخص اللواء ابراهيم اكد ""انها حملة مشبوهة وسنعلن للرأي العام قريبا من يقف وراء هذه الحملة، فالبعض في الداخل والخارج يعمل على اغتيال اللواء ابراهيم معنويا، وبقي امامهم الاغتيال الجسدي ولست اهم من اي شهيد ارتقى من اجل لبنان، فطبيعة الاستهداف شخصية، والا لماذا لم يتم الحديث عن باقي الاجهزة التي لها علاقة بمرفأ بيروت"". وحول الحملة الاعلانية التي انطلقت داعمة لشخص اللواء ابراهيم فانه اوضح لاعضاء الخلية انه ""يشكر محبة الناس الذي يعبرون بصدق عن مشاعرهم الصادقة نحوي، وهذه الحملة انطلقت ثم تصاعدت اثناء وجودي خارج لبنان"".",0.0,,1.0,Neutral,0.0,,0.0,,"['beirut', 'beirut port explosion', 'foreign countries']","[['بيروت'], ['انفجار مرفا بيروت'], ['الامارات']]",2021-07-08 20:05:01,"اللواء ابراهيم: سامثل امام القضاء عندما تكون الامور سالكة وفقا للاطر الادارية.. وحول الحملة الاعلانية: اشكر محبة الناس والحملة انطلقت اثناء وجودي خارج لبنان استقبل المدير العام للامن العام اللواء عباس ابراهيم الخلية القانونية التي تشكلت لمتابعة التحقيقات في قضية تفجير المرفا. ووزع المحامون وسام محمد المذبوح ،احمد المستراح وباسل عباس، بيانا باسم الخلية ونيابة عن اعضايها، بعد اللقاء، قالوا فيه: ""ارادوها شركا للايقاع بصاحب المسيرة المشرفة الواضحة، الذي نذر نفسه رسول خلاص وسلام ومحبة، من اعزاز الى راهبات دير معلولا وصولا الى كل قضية انسانية من شانها ان تزيل ظلما او تبعد فتنة، وقبلهم الكثير من السعي الصامت كصدقة السر وعدهم الكثير الذي ربما يكشف مع الايام وربما لا يكشف، الا انه حولها الى فرصة لكشف الحقيقة الساطعة كما يجب ان تكون في جريمة تفجير مرفا بيروت التي كان يراد منها ان تشكل الزلزال الثاني بعد زلزال اغتيال الرييس الشهيد رفيق الحريري"". اضاف البيان: ""ليس صدفة ان تتقاطع الحملات المنظمة على شخص المدير العام للامن العام اللواء عباس ابراهيم مع ""التسريبة"" القضايية المتضمنة ملاحقة بصفة الادعاء بما يتناقض مع ابسط القواعد والاعراف في العمل القضايي، خصوصا في قضية محالة على المجلس العدلي، وهذا ""الادعاء التسريبة"" كان التمهيد له عن قصد او بالمصادفة من خلال بث شايعات تريد توتير الجو الجنوبي ربطا بالاستحقاق النيابي، ولان الجنوب يختصر كل جهات الوطن، فالهدف هو توتير الجو الوطني تحضيرا لسيناريوهات خطيرة منبعها احقاد شخصية واحلام من سراب، الا ان المعنيين الذين صهرتهم التجارب وادوها في مهدها وجعلوا من نارها بردا وسلاما على لبنان الذي يحتاج الى كل بقعة ضوء وجمع الارادات الصادقة لاستنقاذه من قعر لا يشبهه ولا يليق به"". وتابع: ""فبعد طلب المحقق العدلي في قضية انفجار مرفا بيروت القاضي طارق بيطار استجواب شخصيات سياسية وعسكرية وامنية كمدعى عليهم في هذه القضية، ومن بينهم المدير اللواء ابراهيم، تداعى عدد من كبار المحامين الى تشكيل خلية قانونية زارته في مكتبه في جلسة مناقشة للتطورات الاخيرة المتعلقة في قضية مرفا بيروت، ونقل الزوار عنه تاكيده انه ""من الحريصين على حقوق اهالي الشهداء بكشف الحقيقة ومعاقبة كل متورط"". اما اعضاء الخلية فقد اكدوا ان ""اكبر جريمة بحق الشهداء وعوايلهم هي رمي الاتهامات جزافا، تنفيذا لمارب سياسية واقصاء لرجال موسسات، وحدهم القادرين على القيام بالدولة من الرماد، ونحن بصدد تشكيل خلية قانونية لمراقبة التحقيقات حرصا على حقوق اهالي الشهداء ومنعا لجعل ملف التحقيق شماعة سياسية تستعمل للنيل من رجل دولة وموسسات خرج من زواريب الطوايف والمذاهب والمحسوبيات عابرا بموسسة الامن العام ولبنان من الوطن الى كل العالم، مستحقا بجدارة توصيف ""رجل الامن الانساني""، ولم يتصرف يوما الا وفقا للاطر الادارية والقانونية"". واشار البيان الى ان ""السوال الذي يطرح، لا بل وطرح مباشرة على المدير العام للامن العام ، هل اللواء ابراهيم فوق القانون؟ والجواب الذي سمعه اعضاء الخلية حاسم وواضح لا يحتمل التفسير او التاويل الا وهو ""ان مسيرتي الشخصية وانا ابن الموسسة العسكرية دايما وابدا احترم السلطة القضايية وانا لست فوق القانون، وسامثل امام القضاء عندما تكون الامور سالكة وفقا للاطر الادارية والقانونية"". والسوال الاخر الذي طرح ايضا، لماذا الان تشويه صورة اللواء ابراهيم من خلال ادراج اسمه في ملف تفجير المرفا وتحويل الاموال الى الامارات وبيانات من بعض النواب ومحاولة افشال زيارة واشطن وغيرهم الكثير؟، لا يتردد باسماع اعضاء الخلية موقفه المباشر القايل ""ربما لا يريد البعض ابقاء روح العمل والامل لدى اللبنانيين، وهناك انزعاج من الدور الوطني العابر للطوايف والمذاهب والقوى السياسية على اختلافها، لا سيما اعادة المفقودين والموقوفين والمحتجزين، وصولا الى الخوف الذي يلامس حالة الذعر من اي دور سياسي وطني. وتنفتح الاسيلة المباشرة من قبل اعضاء الخلية اكثر في السوال المحدد عما اذا كان هناك طموح سياسي للواء ابراهيم؟ لياتي الجواب الذي لا شبهة فيه بتاكيده ""لقد قلتها اكثر من مرة واكررها امامكم، انني افضل العمل في المستوى التنفيذي الحكومي اي اجراييا، وليس في الهيية التشريعية"". وعن كيفية مقاربته لانفجار مرفا بيروت؟، يعتبر اللواء ابراهيم ""انها كارثة وطنية وانسانية ويجب ان يقدم القضاء تقريره للراي العام حول تحديد اسباب الانفجار، واحيي ارواح الشهداء الذين ارتقوا واشد على ايدي اهاليهم، ومن البديهي رسم علامات استفهام كبرى حول لماذا لم يسال عن اصحاب الباخرة التي اتت بنيترات الامونيوم؟، فالفرضيات ما زالت كثيرة والسبب ان هذه المادة لا تنفجر الا اذا احتكت بمواد متفجرة"". ولدى سوال اعضاء الخلية عن اسباب الحملة على شخص اللواء ابراهيم اكد ""انها حملة مشبوهة وسنعلن للراي العام قريبا من يقف وراء هذه الحملة، فالبعض في الداخل والخارج يعمل على اغتيال اللواء ابراهيم معنويا، وبقي امامهم الاغتيال الجسدي ولست اهم من اي شهيد ارتقى من اجل لبنان، فطبيعة الاستهداف شخصية، والا لماذا لم يتم الحديث عن باقي الاجهزة التي لها علاقة بمرفا بيروت"". وحول الحملة الاعلانية التي انطلقت داعمة لشخص اللواء ابراهيم فانه اوضح لاعضاء الخلية انه ""يشكر محبة الناس الذي يعبرون بصدق عن مشاعرهم الصادقة نحوي، وهذه الحملة انطلقت ثم تصاعدت اثناء وجودي خارج لبنان""."
1148,100053742612367-c4176ca9b1160852,facebook_post,"ارتفاع باصابات كورونا في لبنان مع وصول ""متحور دلتا"" عبر المطار... ماذا في تفاصيل تقرير اليوم؟",0.0,,0.0,,0.0,,0.0,,['covid / vaccination'],"[['كورونا', 'متحور دلتا']]",2021-07-02 16:18:59,"ارتفاع باصابات كورونا في لبنان مع وصول ""متحور دلتا"" عبر المطار... ماذا في تفاصيل تقرير اليوم؟"
2066,140227242671930-2862d225933ee7b9,facebook_post,الأطباء يحذّرون من مخاطر التدخين في الأيام الأولى بعد التطعيم http://www.lebanondebate.com/news/532045,0.0,,0.0,,0.0,,0.0,,['other'],[None],2021-07-05 11:07:15,الاطباء يحذرون من مخاطر التدخين في الايام الاولى بعد التطعيم http://www.lebanondebate.com/news/532045
1858,105868987897630-7e01c3acce035fd1,facebook_post,"الان من احد مقاهي مدينة صور مواطن يحاول طرد مي شدياق، معبراً عن وجعه ورفضه لكامل الطبقة السياسية الفاسدة التي اوصلت البلد الى الانهيار مشيراً انه لا يستطيع طرد نواب حركة امل و ح ز ب الله ""لانن بخوفو"" #كلن_يعني_كلن #سلطة_العار #انتفاضة_صور_ومنطقتها",0.0,,0.0,,0.0,,0.0,,['opposition to current government'],[['#كلن_يعني_كلن']],2021-07-09 19:51:22,"الان من احد مقاهي مدينة صور مواطن يحاول طرد مي شدياق، معبرا عن وجعه ورفضه لكامل الطبقة السياسية الفاسدة التي اوصلت البلد الى الانهيار مشيرا انه لا يستطيع طرد نواب حركة امل و ح ز ب الله ""لانن بخوفو"" #كلن_يعني_كلن #سلطة_العار #انتفاضة_صور_ومنطقتها"
